Date,Open,High,Low,Close,Adj Close,Volume,Daily Change,
19/06/2019,0.918131,0.93606,0.914979,0.93606,0.846971,23967445,2.04%,
20/06/2019,0.937242,0.939016,0.8937,0.8937,0.808642,28727698,-4.53%,
21/06/2019,0.901187,0.913206,0.876756,0.888381,0.80383,46504733,-0.60%,
24/06/2019,0.886607,0.897247,0.879711,0.882864,0.798838,14585555,-0.62%,
25/06/2019,0.8805,0.882076,0.86789,0.879908,0.796163,18277933,-0.33%,
26/06/2019,0.879908,0.897838,0.876756,0.886607,0.802224,17539789,0.76%,
27/06/2019,0.890745,0.902369,0.881682,0.886607,0.802224,12333354,0.00%,
28/06/2019,0.886607,0.897838,0.886016,0.897444,0.81203,19251707,1.22%,
1/07/2019,0.922072,0.931332,0.906704,0.911235,0.824508,26123013,1.54%,
2/07/2019,0.911038,0.9136,0.884637,0.895473,0.810247,17311367,-1.73%,
3/07/2019,0.889957,0.915767,0.880894,0.915767,0.828609,19734969,2.27%,
4/07/2019,0.911038,0.938031,0.911038,0.934878,0.845901,26935286,2.09%,
5/07/2019,0.935863,0.947685,0.924239,0.938819,0.849467,30059934,0.42%,
8/07/2019,0.936848,0.945123,0.906704,0.911038,0.82433,22003436,-2.96%,
9/07/2019,0.901384,0.914585,0.893109,0.911432,0.824687,23889468,0.04%,
10/07/2019,0.911432,0.94335,0.909462,0.9268,0.838592,25235983,1.69%,
11/07/2019,0.926012,0.930938,0.908871,0.930741,0.842158,12835456,0.43%,
12/07/2019,0.931135,0.94138,0.924436,0.924436,0.836453,15122421,-0.68%,
15/07/2019,0.93212,0.935666,0.919116,0.925421,0.837344,12223755,0.11%,
16/07/2019,0.923648,0.945714,0.920692,0.945714,0.855706,18276652,2.19%,
17/07/2019,0.94138,0.94138,0.900793,0.901778,0.815952,27550659,-4.65%,
18/07/2019,0.888578,0.910841,0.878923,0.904339,0.818269,26547277,0.28%,
19/07/2019,0.90631,0.91557,0.876756,0.879711,0.795985,22986578,-2.72%,
22/07/2019,0.883061,0.886607,0.84208,0.847202,0.76657,31837791,-3.70%,
23/07/2019,0.858039,0.879317,0.847597,0.879317,0.795628,23516796,3.79%,
24/07/2019,0.876756,0.885031,0.858433,0.883455,0.799372,23101525,0.47%,
25/07/2019,0.886607,0.911235,0.869269,0.884834,0.80062,27149772,0.16%,
26/07/2019,0.891927,0.895473,0.826515,0.826515,0.747852,72671221,-6.59%,
29/07/2019,0.830455,0.841292,0.803857,0.811541,0.734303,46592927,-1.81%,
30/07/2019,0.812723,0.815285,0.77391,0.784155,0.709523,56326735,-3.37%,
31/07/2019,0.788095,0.796567,0.77982,0.77982,0.705601,19791636,-0.55%,
1/08/2019,0.780805,0.794006,0.770166,0.777456,0.703462,23564217,-0.30%,
2/08/2019,0.768393,0.772924,0.744356,0.760118,0.687774,45289523,-2.23%,
5/08/2019,0.760315,0.778638,0.748691,0.769181,0.695974,33714678,1.19%,
6/08/2019,0.764846,0.776865,0.754798,0.758542,0.686348,28887134,-1.38%,
7/08/2019,0.763467,0.767802,0.74475,0.760906,0.688487,31761620,0.31%,
8/08/2019,0.76859,0.78514,0.7613,0.78514,0.710415,24021725,3.18%,
9/08/2019,0.772333,0.786125,0.766423,0.774304,0.70061,27329657,-1.38%,
12/08/2019,0.774698,0.779623,0.740218,0.740218,0.669768,25293704,-4.40%,
13/08/2019,0.738839,0.76327,0.725245,0.749873,0.678504,29483480,1.30%,
14/08/2019,0.749873,0.749873,0.709877,0.714014,0.646058,41895423,-4.78%,
15/08/2019,0.715196,0.728988,0.703375,0.719531,0.65105,67715302,0.77%,
16/08/2019,0.719531,0.762482,0.710665,0.762482,0.689913,53979686,5.97%,
19/08/2019,0.768393,0.782382,0.761694,0.76327,0.690626,24538635,0.10%,
20/08/2019,0.75933,0.760906,0.734899,0.73746,0.667273,32461152,-3.38%,
21/08/2019,0.738839,0.74475,0.731352,0.736081,0.666025,15084014,-0.19%,
22/08/2019,0.732535,0.767999,0.732535,0.758345,0.68617,23636344,3.02%,
23/08/2019,0.7613,0.768787,0.742189,0.742189,0.671551,17647837,-2.13%,
26/08/2019,0.738839,0.75736,0.738839,0.751252,0.679752,12034390,1.22%,
27/08/2019,0.751646,0.767802,0.747508,0.754798,0.68296,19055295,0.47%,
28/08/2019,0.763073,0.763073,0.750858,0.754404,0.682604,27064181,-0.05%,
29/08/2019,0.753222,0.77391,0.753222,0.765438,0.692588,12070274,1.46%,
30/08/2019,0.767999,0.778047,0.763664,0.767211,0.694192,40153229,0.23%,
2/09/2019,0.764452,0.767605,0.741204,0.74672,0.675651,17097563,-2.67%,
3/09/2019,0.743962,0.754601,0.732141,0.734899,0.664955,21763540,-1.58%,
4/09/2019,0.745735,0.75933,0.741007,0.741598,0.671017,17936156,0.91%,
5/09/2019,0.748691,0.807798,0.748691,0.798538,0.722537,54461132,7.68%,
